Feature Name,Alpha = 800.000000,Alpha = 900.000000,Alpha = 1000.000000,Alpha = 1100.000000,Alpha = 1200.000000
MSSubClass,-6906.602648126531,-6678.87036029119,-6395.836966195984,-6179.993305822878,-5952.477178051555
LotFrontage,-853.3331703620432,-484.1842320203525,-121.44514668854796,-0.0,-0.0
LotArea,1815.3741086434295,1831.711045888112,1845.4862773597586,1878.1008518614597,1909.6528712318209
OverallQual,26969.302148113904,27533.392029656432,28166.067560645686,28792.878598624146,29399.377142048856
OverallCond,4813.847579382922,4570.200042281907,4313.122455892406,4052.1206899844337,3806.924858970493
YearBuilt,9331.553277687995,9469.116547103627,9639.329349102223,9801.883523572524,9726.091003975822
YearRemodAdd,1277.496684188211,1517.5948664827401,1821.4329127838193,2151.314144298897,2478.851652641446
MasVnrArea,3784.402059258748,3892.085010599825,4063.013345009136,4130.2862750213335,4187.90977629689
BsmtFinSF1,3757.437796958496,4222.356517858643,4395.835396620455,4569.154380204805,4722.952851387061
BsmtFinSF2,0.0,0.0,0.0,0.0,0.0
BsmtUnfSF,-0.0,-0.0,-0.0,-0.0,-0.0
TotalBsmtSF,3927.7641084181932,4088.5185232819413,4341.320001683899,4628.809095578991,4906.539667732365
1stFlrSF,0.0,0.0,0.0,0.0,0.0
2ndFlrSF,0.0,0.0,0.0,0.0,0.0
LowQualFinSF,-493.59462807228823,-432.71488775241846,-360.68781786431657,-259.8289744250642,-155.10778572125065
GrLivArea,29950.240834445143,30247.392449772095,30277.691930888017,30017.98887529782,29798.34207881166
BsmtFullBath,4112.262081446509,3808.103889265767,3447.8220191079263,3096.938645066333,2770.6608938129816
BsmtHalfBath,-0.0,-0.0,-0.0,-0.0,-0.0
FullBath,1305.668209365108,727.7638581016222,217.51816237415784,0.0,0.0
HalfBath,0.0,0.0,0.0,0.0,0.0
BedroomAbvGr,-1007.0937130288156,-727.7151027244572,-470.57464716621865,-221.0896037201422,-2.5373025602531616
KitchenAbvGr,-1842.3632628432172,-1789.6646482452243,-1743.1713456558275,-1700.681719432685,-1671.7989238151363
TotRmsAbvGrd,2141.431862798737,1640.8255228913615,1268.2563154884263,1030.828607729707,738.3303265355587
Fireplaces,4178.822535414685,4053.408808106501,3948.535140824934,3900.110619062018,3822.4855688710977
GarageYrBlt,0.0,0.0,0.0,0.0,0.0
GarageCars,10744.725629407083,10786.782137740773,10836.461215104884,10758.367879984466,10605.828192533529
GarageArea,0.0,0.0,0.0,130.75313295723768,345.35778413913084
WoodDeckSF,2866.836323192507,2886.4579140550763,2897.7340560208913,2863.7916533997472,2807.470754498236
OpenPorchSF,0.0,0.0,0.0,0.0,0.0
EnclosedPorch,-0.0,-0.0,-0.0,-0.0,-0.0
3SsnPorch,271.1293886761029,130.1731715665303,2.43798400918307,0.0,0.0
ScreenPorch,1964.0254785722361,1861.971718273418,1769.81312934318,1692.9505447488334,1609.8109818559767
PoolArea,-0.0,-0.0,-0.0,-0.0,-0.0
MiscVal,-0.0,-0.0,-0.0,-0.0,-0.0
MoSold,-0.0,-0.0,0.0,0.0,0.0
YrSold,-0.0,-0.0,-0.0,-0.0,-0.0
MSZoning_C (all),-0.0,-0.0,-0.0,-0.0,-0.0
MSZoning_FV,0.0,0.0,0.0,0.0,0.0
MSZoning_RH,-0.0,-0.0,-0.0,-0.0,-0.0
MSZoning_RL,0.0,0.0,0.0,0.0,0.0
MSZoning_RM,-2675.5666193019283,-1830.0001447968286,-901.2682558861459,-46.49049956097988,-0.0
Street_Grvl,-0.0,-0.0,-0.0,-0.0,-0.0
Street_Pave,0.0,0.0,0.0,0.0,0.0
Alley_Grvl,-0.0,-0.0,-0.0,-0.0,-0.0
Alley_Pave,-0.0,-0.0,-0.0,-0.0,-0.0
LotShape_IR1,0.0,0.0,0.0,0.0,0.0
LotShape_IR2,0.0,0.0,0.0,0.0,0.0
LotShape_IR3,-0.0,-0.0,-0.0,-0.0,-0.0
LotShape_Reg,-75.36334120085316,-0.0,-0.0,-0.0,-0.0
LandContour_Bnk,-0.0,-0.0,-0.0,-0.0,-0.0
LandContour_HLS,0.0,0.0,0.0,0.0,0.0
LandContour_Low,0.0,0.0,0.0,0.0,0.0
LandContour_Lvl,0.0,0.0,0.0,0.0,0.0
Utilities_AllPub,0.0,0.0,0.0,0.0,0.0
Utilities_NoSeWa,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_Corner,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_CulDSac,0.0,0.0,0.0,0.0,0.0
LotConfig_FR2,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_FR3,-0.0,-0.0,-0.0,-0.0,-0.0
LotConfig_Inside,-0.0,-0.0,-0.0,-0.0,-0.0
LandSlope_Gtl,-0.0,-0.0,-0.0,-0.0,-0.0
LandSlope_Mod,0.0,0.0,0.0,0.0,0.0
LandSlope_Sev,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Blmngtn,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Blueste,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_BrDale,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_BrkSide,0.0,0.0,0.0,0.0,0.0
Neighborhood_ClearCr,0.0,0.0,0.0,0.0,0.0
Neighborhood_CollgCr,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Crawfor,0.0,0.0,0.0,0.0,0.0
Neighborhood_Edwards,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Gilbert,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_IDOTRR,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_MeadowV,0.0,0.0,0.0,0.0,0.0
Neighborhood_Mitchel,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NAmes,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NPkVill,0.0,0.0,0.0,0.0,0.0
Neighborhood_NWAmes,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_NoRidge,8138.662363666523,2921.0150224621507,0.0,0.0,0.0
Neighborhood_NridgHt,6078.658152020798,4140.537150187397,2293.481546556633,708.0269749233629,0.0
Neighborhood_OldTown,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_SWISU,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Sawyer,0.0,0.0,0.0,0.0,-0.0
Neighborhood_SawyerW,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Somerst,0.0,0.0,0.0,0.0,0.0
Neighborhood_StoneBr,0.0,0.0,0.0,0.0,0.0
Neighborhood_Timber,-0.0,-0.0,-0.0,-0.0,-0.0
Neighborhood_Veenker,0.0,0.0,0.0,0.0,0.0
Condition1_Artery,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_Feedr,-0.0,-0.0,-0.0,-0.0,-0.0
Condition1_Norm,6633.805706582674,6069.113543236875,5412.75654043022,4629.010432314765,3801.078310371544
