Age,Veh_Value,Tax,Price,Veh_Mileage,Credit_Score,License_Length,Sale
20.0,6000.0,51.69243829,516.9243829,9000.0,460.77127199999995,7.037570737,1
51.0,6000.0,45.43851644,908.7703288999999,6000.0,307.9284649,9.614359475,1
26.0,9000.0,64.55210379,645.5210379,9000.0,297.2205914,9.527186083,1
37.0,10000.0,63.95329288,639.5329287999999,3000.0,424.22509339999993,9.277893892,1
30.0,8000.0,25.32070136,506.41402719999996,5000.0,368.2790296,9.106356837,1
22.0,9000.0,57.74342007,577.4342007,7000.0,468.0307375,5.201196996,1
33.0,6000.0,44.39460444,443.9460444,7000.0,431.7490253,4.488777463,0
34.0,6000.0,25.30237186,506.04743729999996,9000.0,347.40916239999996,7.939417776,1
32.0,7000.0,29.39426466,587.8852932,10000.0,377.7069164,10.01983536,1
22.0,7000.0,25.09044701,501.8089402,8000.0,449.4424732,7.397527127999999,1
36.0,6000.0,32.85191074,657.0382149000001,8000.0,412.3636725,12.47823232,1
26.0,8000.0,42.14489771,421.4489771000001,8000.0,473.6175499,6.0718460279999995,0
31.0,10000.0,59.77770991,597.7770991,6000.0,462.97111050000007,4.462177352,1
23.0,9000.0,18.71092077,374.21841539999997,9000.0,444.2959728,7.469374051,1
26.0,9000.0,46.11901455,461.1901455,8000.0,426.3953926,10.60161291,1
22.0,9000.0,43.276001799999996,432.76001799999995,6000.0,303.33976980000006,8.568790156,0
23.0,10000.0,56.25466279,562.5466279,5000.0,345.7129347,9.126085081,1
37.0,10000.0,49.22961606,492.29616060000006,7000.0,330.3278175,10.39803743,0
21.0,15000.0,60.89270255,608.9270255,7000.0,364.9536289,5.776654343,1
25.0,10000.0,73.59441919,735.9441919,8000.0,493.63294349999995,7.84737351,1
43.0,8000.0,89.99488859,899.9488858999999,7000.0,390.9558898,9.214410205,1
37.0,8000.0,64.55963575,645.5963575000001,7000.0,403.500703,5.518162794,1
27.0,10000.0,65.75340142,657.5340142000001,8000.0,383.1096776,8.173189783,0
