Feature Name,Alpha = 10.000000,Alpha = 20.000000,Alpha = 50.000000
MSSubClass,-2739.669914215231,-3179.319555340915,-5280.1795640653445
LotFrontage,470.68487497720656,436.29660435824655,101.91794405791804
LotArea,5894.874441169288,5094.687995086802,4204.767786560118
OverallQual,9596.57980982067,9900.83219753803,10536.484079360935
OverallCond,6260.629387501489,6279.170754087324,6423.018521610497
YearBuilt,9169.330197584894,8545.455049127606,7852.177890791334
YearRemodAdd,2004.915738380346,1862.7055119546242,1375.6847738650517
MasVnrArea,3835.9876881020573,3808.449545977687,3861.902880247839
BsmtFinSF1,7547.484075474961,6966.26906943009,6064.145250281634
BsmtFinSF2,1572.3765314217414,1464.844075056549,1172.2604781997238
BsmtUnfSF,-0.0,-0.0,-0.0
TotalBsmtSF,7353.248683604381,6958.508236935866,5827.297485355835
1stFlrSF,12410.431207729762,9339.091688486842,0.0
2ndFlrSF,19785.778034794002,15438.702671576904,3883.633045285451
LowQualFinSF,-723.2971294011344,-976.0397540453337,-1871.8864129385831
GrLivArea,7738.520818656879,11876.160854454363,24502.574550699897
BsmtFullBath,977.6694975257425,1184.5957807097434,1486.9221372119537
BsmtHalfBath,-183.95645803556073,-250.40223641883026,-229.0864813628631
FullBath,2101.5613094242326,2232.9342634048803,2584.946196516559
HalfBath,926.1876454268292,995.4731925996921,1082.5446333539617
BedroomAbvGr,-2996.741397934297,-3132.5031147218024,-3093.5194449368005
KitchenAbvGr,-3012.3553382906452,-3117.639517469862,-3034.3371691520765
TotRmsAbvGrd,3010.317969011777,3266.1647019213533,3541.197401576275
Fireplaces,3557.151588467112,3049.4449044324183,2239.3937778443164
GarageYrBlt,-572.8023020907808,-313.2436501121944,-0.0
GarageCars,3891.9085405878495,4376.387255783331,4879.959248477463
GarageArea,3170.9125434329385,2692.1014131958827,2203.7633401189455
WoodDeckSF,1887.4066693434695,1860.1470807655523,1853.1593925184898
OpenPorchSF,295.91698319227936,316.666849661434,174.53630780165935
EnclosedPorch,-17.381391733144,-70.70982195535134,-0.0
3SsnPorch,969.392125481257,903.1809030146436,759.6330957662542
ScreenPorch,1860.4468044634727,1879.71919783938,1893.290430669309
PoolArea,3499.6635090669515,3074.6971915765703,2195.8959203040113
MiscVal,-230.17843785285547,-293.08422848747034,-218.13497682705986
MoSold,-1162.7586631627698,-1091.6036213952414,-906.7696934519428
YrSold,-516.422328093728,-391.43681178318633,-197.2044823387568
MSZoning_C (all),-21865.54828225915,-20441.241835592995,-16289.201290895511
MSZoning_FV,8581.484200552773,7078.087683260987,2932.458741882609
MSZoning_RH,0.0,0.0,0.0
MSZoning_RL,2535.9009418629826,1851.835178230791,505.24452182758137
MSZoning_RM,-1565.2008309304922,-2822.512551309205,-4099.5396233936635
Street_Grvl,-27864.96974183393,-22904.84647779632,-9871.313111754775
Street_Pave,1.9598297247640076e-09,1.7272559581098134e-09,1.042320126994713e-09
Alley_Grvl,297.3747049125255,0.0,-0.0
Alley_Pave,0.0,0.0,0.0
LotShape_IR1,-1641.9793424242216,-1549.7184845681486,-1171.4609232986602
LotShape_IR2,2732.013674074835,2911.2675690125416,2658.2898004202852
LotShape_IR3,342.76044843258234,0.0,-0.0
LotShape_Reg,-6.081585084336476,-0.0,0.0
LandContour_Bnk,-4706.811161609975,-4516.978689289026,-3626.038256022988
LandContour_HLS,4345.182683291238,5339.013842709788,5864.199977980518
LandContour_Low,-10295.066104652778,-6968.845810680722,-1667.5759271319052
LandContour_Lvl,1672.052193680031,2449.277288315546,3663.727075836721
Utilities_AllPub,19007.88806906125,1468.9104995099613,0.0
Utilities_NoSeWa,-5.460708421885438e-11,-2.912377825005567e-11,-0.0
LotConfig_Corner,882.8739484261552,679.1048500188509,565.4214305781154
LotConfig_CulDSac,9742.824543239602,9691.065822932665,9047.294876013406
LotConfig_FR2,-5910.408277056504,-5606.172819882327,-4398.649105026758
LotConfig_FR3,-10107.810384909679,-5755.185267171644,-0.0
LotConfig_Inside,-0.0,-0.0,-0.0
LandSlope_Gtl,-0.0,-0.0,0.0
LandSlope_Mod,5902.545533290584,5106.893229253003,3863.293753505385
LandSlope_Sev,-24483.0677087801,-13822.238418931876,-7223.004497034597
