Id,SalePrice
1461,120711.50573347276
1462,163062.90486418642
1463,196036.282941011
1464,188124.58077041095
1465,209587.71746886568
1466,174966.78932141315
1467,175287.84939502343
1468,150930.9738513034
1469,210976.91110472567
1470,126340.84096263535
1471,160663.91046523384
1472,143212.99776317365
1473,100188.08201131737
1474,176251.11733068177
1475,118551.19786891225
1476,332232.6497873729
1477,226368.71148082195
1478,284487.5358602954
1479,263067.0174375302
1480,462346.5121200364
1481,327560.1519027543
1482,201300.8231666895
1483,173648.81847709953
1484,155929.04456134408
1485,164148.22863301344
1486,189588.84817983094
1487,331532.28374360874
1488,235661.5221720403
1489,174013.61347312375
1490,236292.16108227428
1491,166089.6381118854
1492,101887.42047130223
1493,185857.52739150054
1494,309415.8067670772
1495,315429.38751422474
1496,237398.23410049418
1497,183010.4408214623
1498,158275.55395355215
1499,160239.65767128556
1500,149043.23088666215
1501,181615.55966777168
1502,139788.98473458178
1503,252942.89562683273
1504,237637.76766005857
1505,233503.67987150734
1506,216451.69309800002
1507,259969.38593238872
1508,222361.524141883
1509,167077.07926844002
1510,144733.139811147
1511,156161.78390634712
1512,176848.21660103556
1513,141400.94433246064
1514,161722.10417505912
1515,205946.63547054632
1516,139132.77770720748
1517,183451.59368641907
1518,130392.96382107236
1519,236580.44573707436
1520,122221.83699064935
1521,169066.03129599057
1522,190313.73935509613
1523,118927.44220803212
1524,128896.24746874999
1525,123565.56520316936
1526,105919.97399556637
1527,98042.50181702664
1528,128614.95861088578
1529,142754.8166381903
1530,216599.071223313
1531,138572.17751073698
1532,91416.33181504346
1533,170182.9373447355
1534,125805.98961589974
1535,147559.6650228547
1536,97261.20732530579
1537,99065.08194153616
1538,145591.763210085
1539,228460.83576607204
1540,118355.93220541766
1541,158721.83068218583
1542,153913.28750240384
1543,195269.9465381531
1544,80535.67582540773
1545,110237.35054995865
1546,132774.79429716454
1547,151646.2454831223
1548,174858.51027756277
1549,91993.86329162121
1550,146318.34623699053
1551,128000.82759722136
1552,166880.6779423533
1553,156473.16605977528
1554,83144.84443373722
1555,178837.67872184608
1556,84265.41132363025
1557,128993.60434183944
1558,91991.72040418442
1559,128129.7745061433
1560,115522.82104733866
1561,127065.85108814435
1562,127874.32524226978
1563,130317.28531685472
1564,183715.84006553795
1565,157692.39184859232
1566,243338.91520976555
1567,74855.85452290764
1568,230138.73788646795
1569,145672.8849496243
1570,131964.73151034443
1571,100134.22401244845
1572,158783.97166910022
1573,279622.1439107263
1574,128498.72226857068
1575,255670.349140991
1576,228902.17554032267
1577,172080.24297085032
1578,185954.51878234488
1579,139623.85042253276
1580,208970.80109119415
1581,151344.9694987405
1582,119511.26452276949
1583,282179.9330943166
1584,211339.990322073
1585,128781.39190597693
1586,62113.87378323916
1587,89550.13108886313
1588,168214.76212239824
1589,96125.19710586406
