Feature Name,Alpha = 50.000000,Alpha = 100.000000,Alpha = 200.000000
MSSubClass,-5280.1795640653445,-5738.338176445694,-7084.493414532552
LotFrontage,101.91794405791804,-0.0,-1112.2071761592863
LotArea,4204.767786560118,3349.3650778233723,3485.5731513211936
OverallQual,10536.484079360935,11567.829782942203,13401.637930350407
OverallCond,6423.018521610497,6214.822007192669,5929.775028323562
YearBuilt,7852.177890791334,7439.707227039438,6237.01330791055
YearRemodAdd,1375.6847738650517,1191.6793284272785,1017.7596570307174
MasVnrArea,3861.902880247839,3630.0389703027236,3199.625631418103
BsmtFinSF1,6064.145250281634,4806.544635600372,2308.275472984119
BsmtFinSF2,1172.2604781997238,418.3387013290887,0.0
BsmtUnfSF,-0.0,-0.0,-0.0
TotalBsmtSF,5827.297485355835,4271.314156286227,2734.4214213481255
1stFlrSF,0.0,0.0,0.0
2ndFlrSF,3883.633045285451,2657.8644439458735,1523.5471893779215
LowQualFinSF,-1871.8864129385831,-1501.7925013362587,-895.8347453273951
GrLivArea,24502.574550699897,24964.072958565117,23693.593113618907
BsmtFullBath,1486.9221372119537,2146.3158431238444,3166.437750075004
BsmtHalfBath,-229.0864813628631,-26.29107293059437,0.0
FullBath,2584.946196516559,2828.915995032392,3048.6825439729514
HalfBath,1082.5446333539617,870.1828560595966,827.7366288930479
BedroomAbvGr,-3093.5194449368005,-2871.2564457220255,-2080.932966784292
KitchenAbvGr,-3034.3371691520765,-2844.903457926497,-2744.949718915721
TotRmsAbvGrd,3541.197401576275,3569.617632894277,3876.214469198714
Fireplaces,2239.3937778443164,2197.6187281321845,2588.1446322210923
GarageYrBlt,-0.0,-0.0,0.0
GarageCars,4879.959248477463,5391.560552730985,6811.155472081092
GarageArea,2203.7633401189455,1432.1598779212322,72.42089499088246
WoodDeckSF,1853.1593925184898,1931.9339852526487,2204.158137732872
OpenPorchSF,174.53630780165935,0.0,-0.0
EnclosedPorch,-0.0,0.0,0.0
3SsnPorch,759.6330957662542,679.3638257761305,720.6683357999661
ScreenPorch,1893.290430669309,1966.7892138779275,2240.9190946530703
PoolArea,2195.8959203040113,1966.709860773674,723.5250018023132
MiscVal,-218.13497682705986,-143.39010455415348,-47.88152921449315
MoSold,-906.7696934519428,-809.2113670365399,-602.6880808282269
YrSold,-197.2044823387568,-186.77458445763804,-299.9942783704459
MSZoning_C (all),-16289.201290895511,-8924.328736319323,-0.0
MSZoning_FV,2932.458741882609,0.0,0.0
MSZoning_RH,0.0,0.0,0.0
MSZoning_RL,505.24452182758137,17.594957901982188,0.0
MSZoning_RM,-4099.5396233936635,-4391.3985242180215,-4466.337695488149
Street_Grvl,-9871.313111754775,-0.0,-0.0
Street_Pave,1.042320126994713e-09,0.0,0.0
Alley_Grvl,-0.0,-0.0,-0.0
Alley_Pave,0.0,-0.0,-0.0
LotShape_IR1,-1171.4609232986602,-359.9095556320642,-0.0
LotShape_IR2,2658.2898004202852,2081.344496480881,236.91475019699433
LotShape_IR3,-0.0,-0.0,-0.0
LotShape_Reg,0.0,0.0,-0.0
LandContour_Bnk,-3626.038256022988,-7280.2828890896235,-9111.983681727088
LandContour_HLS,5864.199977980518,898.2853139092467,0.0
LandContour_Low,-1667.5759271319052,-0.0,-0.0
LandContour_Lvl,3663.727075836721,335.2192600499952,0.0
Utilities_AllPub,0.0,0.0,0.0
Utilities_NoSeWa,-0.0,-0.0,-0.0
LotConfig_Corner,565.4214305781154,147.07340571719556,0.0
LotConfig_CulDSac,9047.294876013406,7775.639730519222,6495.849937135395
LotConfig_FR2,-4398.649105026758,-2706.6064191571318,-256.6227210606129
LotConfig_FR3,-0.0,-0.0,-0.0
LotConfig_Inside,-0.0,-0.0,-0.0
LandSlope_Gtl,0.0,-0.0,-0.0
LandSlope_Mod,3863.293753505385,2019.7959132547971,1668.8831704816669
LandSlope_Sev,-7223.004497034597,-0.0,-0.0
Neighborhood_Blmngtn,0.0,-0.0,-0.0
Neighborhood_Blueste,0.0,0.0,-0.0
Neighborhood_BrDale,0.0,0.0,0.0
Neighborhood_BrkSide,6542.257106804702,6022.670001950206,2536.203451105023
Neighborhood_ClearCr,-0.0,-0.0,0.0
Neighborhood_CollgCr,-0.0,-0.0,0.0
Neighborhood_Crawfor,19234.005503585635,18407.70933630408,15377.916146109419
Neighborhood_Edwards,-9200.260859302882,-8507.119949676682,-8401.5362020355
Neighborhood_Gilbert,-1901.6703245259125,-773.5849800544376,-0.0
Neighborhood_IDOTRR,-0.0,-0.0,-0.0
Neighborhood_MeadowV,-0.0,0.0,0.0
Neighborhood_Mitchel,-9930.913671390612,-7302.840509225482,-2868.261971056078
Neighborhood_NAmes,-5208.101655584534,-3427.4578112042973,-1277.7504010101927
Neighborhood_NPkVill,0.0,0.0,0.0
Neighborhood_NWAmes,-6385.649978925025,-4239.317597236089,-793.8418527027573
Neighborhood_NoRidge,36566.200325066,37704.49080121665,38829.47164545027
Neighborhood_NridgHt,24181.36125254957,23941.154711528692,23424.639931794765
Neighborhood_OldTown,-3004.5334143972677,-1787.815933390989,-623.7103917150489
Neighborhood_SWISU,-0.0,-0.0,-0.0
Neighborhood_Sawyer,-0.0,-0.0,0.0
Neighborhood_SawyerW,2135.6381101689417,0.0,0.0
Neighborhood_Somerst,9263.120162957193,10656.33368054784,8903.748544863125
Neighborhood_StoneBr,39666.86042338516,37211.83115401244,32072.156850319396
